,flops,params,tokens,benchmark,metric_type,score,tpr
0,1.9739956381483008e+18,122777600.0,2679635968.0,arc_challenge,acc,0.17064846416382254,20.0
1,1.9739956381483008e+18,122777600.0,2679635968.0,arc_challenge,acc_norm,0.2090443686006826,20.0
2,1.9739956381483008e+18,122777600.0,2679635968.0,arc_challenge,acc_norm_stderr,0.011882746987406451,20.0
3,1.9739956381483008e+18,122777600.0,2679635968.0,arc_challenge,acc_stderr,0.01099365416841375,20.0
5,1.9739956381483008e+18,122777600.0,2679635968.0,arc_challenge,brier,1.355662443900472,20.0
6,1.9739956381483008e+18,122777600.0,2679635968.0,arc_challenge,brier_stderr,0.019394816491289185,20.0
7,1.9739956381483008e+18,122777600.0,2679635968.0,arc_challenge,loglikelihood,-29.340855975606743,20.0
8,1.9739956381483008e+18,122777600.0,2679635968.0,arc_challenge,loglikelihood_stderr,0.45921361887638174,20.0
9,1.9739956381483008e+18,122777600.0,2679635968.0,arc_easy,acc,0.3842592592592592,20.0
10,1.9739956381483008e+18,122777600.0,2679635968.0,arc_easy,acc_norm,0.3653198653198653,20.0
11,1.9739956381483008e+18,122777600.0,2679635968.0,arc_easy,acc_norm_stderr,0.009880576614806916,20.0
12,1.9739956381483008e+18,122777600.0,2679635968.0,arc_easy,acc_stderr,0.009981120724601432,20.0
14,1.9739956381483008e+18,122777600.0,2679635968.0,arc_easy,brier,0.944896980167016,20.0
15,1.9739956381483008e+18,122777600.0,2679635968.0,arc_easy,brier_stderr,0.015231132537564728,20.0
16,1.9739956381483008e+18,122777600.0,2679635968.0,arc_easy,loglikelihood,-22.660895008832117,20.0
17,1.9739956381483008e+18,122777600.0,2679635968.0,arc_easy,loglikelihood_stderr,0.24642243125678223,20.0
18,1.9739956381483008e+18,122777600.0,2679635968.0,c4,accuracy,0.3712480068206787,20.0
19,1.9739956381483008e+18,122777600.0,2679635968.0,c4,bits_per_byte,0,20.0
20,1.9739956381483008e+18,122777600.0,2679635968.0,c4,cross_entropy_loss,3.4672491550445557,20.0
21,1.9739956381483008e+18,122777600.0,2679635968.0,c4,loss,3.4672491550445557,20.0
22,1.9739956381483008e+18,122777600.0,2679635968.0,c4,perplexity,32.22615051269531,20.0
23,1.9739956381483008e+18,122777600.0,2679635968.0,c4,train_live_targets,464.4752807617187,20.0
24,1.9739956381483008e+18,122777600.0,2679635968.0,c4,z_loss,175.9838409423828,20.0
25,1.9739956381483008e+18,122777600.0,2679635968.0,dclm,accuracy,0.331521600484848,20.0
26,1.9739956381483008e+18,122777600.0,2679635968.0,dclm,bits_per_byte,0,20.0
27,1.9739956381483008e+18,122777600.0,2679635968.0,dclm,cross_entropy_loss,3.902496814727783,20.0
28,1.9739956381483008e+18,122777600.0,2679635968.0,dclm,loss,3.902496814727783,20.0
29,1.9739956381483008e+18,122777600.0,2679635968.0,dclm,perplexity,49.638702392578125,20.0
30,1.9739956381483008e+18,122777600.0,2679635968.0,dclm,train_live_targets,993.1259765625,20.0
31,1.9739956381483008e+18,122777600.0,2679635968.0,dclm,z_loss,166.13137817382812,20.0
32,1.9739956381483008e+18,122777600.0,2679635968.0,fineweb,accuracy,0.3530288338661194,20.0
33,1.9739956381483008e+18,122777600.0,2679635968.0,fineweb,bits_per_byte,0,20.0
34,1.9739956381483008e+18,122777600.0,2679635968.0,fineweb,cross_entropy_loss,3.644256353378296,20.0
35,1.9739956381483008e+18,122777600.0,2679635968.0,fineweb,loss,3.644256353378296,20.0
36,1.9739956381483008e+18,122777600.0,2679635968.0,fineweb,perplexity,38.394493103027344,20.0
37,1.9739956381483008e+18,122777600.0,2679635968.0,fineweb,train_live_targets,647.3777465820312,20.0
38,1.9739956381483008e+18,122777600.0,2679635968.0,fineweb,z_loss,172.12210083007812,20.0
40,1.9739956381483008e+18,122777600.0,2679635968.0,gsm8k_cot_llama,exact_match,0.01061410159211524,20.0
41,1.9739956381483008e+18,122777600.0,2679635968.0,gsm8k_cot_llama,exact_match_stderr,0.002822713322387704,20.0
42,1.9739956381483008e+18,122777600.0,2679635968.0,hellaswag,acc,0.27185819557857,20.0
43,1.9739956381483008e+18,122777600.0,2679635968.0,hellaswag,acc_norm,0.2870942043417646,20.0
44,1.9739956381483008e+18,122777600.0,2679635968.0,hellaswag,acc_norm_stderr,0.0045148133632211,20.0
45,1.9739956381483008e+18,122777600.0,2679635968.0,hellaswag,acc_stderr,0.004440079173277003,20.0
47,1.9739956381483008e+18,122777600.0,2679635968.0,hellaswag,brier,1.4051368931582089,20.0
48,1.9739956381483008e+18,122777600.0,2679635968.0,hellaswag,brier_stderr,0.008660960279633598,20.0
49,1.9739956381483008e+18,122777600.0,2679635968.0,hellaswag,loglikelihood,-96.17467337081072,20.0
50,1.9739956381483008e+18,122777600.0,2679635968.0,hellaswag,loglikelihood_stderr,0.4760939018008658,20.0
52,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,n_assertionerror,2168,20.0
53,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,n_assertionerror_stderr,,20.0
54,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,n_exception,5264,20.0
55,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,n_exception_stderr,,20.0
56,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,n_invalid_status,0,20.0
57,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,n_invalid_status_stderr,,20.0
58,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,n_ok,0,20.0
59,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,n_ok_stderr,,20.0
60,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,n_syntaxerror,25368,20.0
61,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,n_syntaxerror_stderr,,20.0
62,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@1,0,20.0
63,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@128,0,20.0
64,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@128_stderr,,20.0
65,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@16,0,20.0
66,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@16_stderr,,20.0
67,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@1_stderr,,20.0
68,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@2,0,20.0
69,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@2_stderr,,20.0
70,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@32,0,20.0
71,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@32_stderr,,20.0
72,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@4,0,20.0
73,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@4_stderr,,20.0
74,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@64,0,20.0
75,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@64_stderr,,20.0
76,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@8,0,20.0
77,1.9739956381483008e+18,122777600.0,2679635968.0,humaneval-py,pass@8_stderr,,20.0
78,1.9739956381483008e+18,122777600.0,2679635968.0,lambada_openai,acc,0.19250921793130216,20.0
