,tokens,benchmark,metric_type,score,tpr
0,1825570816.0,arc_challenge,acc,0.1697952218430034,20.0
1,1825570816.0,arc_challenge,acc_norm,0.2098976109215017,20.0
2,1825570816.0,arc_challenge,acc_norm_stderr,0.011900548748047425,20.0
3,1825570816.0,arc_challenge,acc_stderr,0.010971775157784207,20.0
5,1825570816.0,arc_challenge,brier,1.3708981622085237,20.0
6,1825570816.0,arc_challenge,brier_stderr,0.019024866575061833,20.0
7,1825570816.0,arc_challenge,loglikelihood,-28.31457613840852,20.0
8,1825570816.0,arc_challenge,loglikelihood_stderr,0.3981299694267495,20.0
9,1825570816.0,arc_challenge,neg_loglikelihood_norm,1.23802534868492,20.0
10,1825570816.0,arc_easy,acc,0.404040404040404,20.0
11,1825570816.0,arc_easy,acc_norm,0.369949494949495,20.0
12,1825570816.0,arc_easy,acc_norm_stderr,0.009906656266021144,20.0
13,1825570816.0,arc_easy,acc_stderr,0.01006906164954955,20.0
15,1825570816.0,arc_easy,brier,0.927485544176779,20.0
16,1825570816.0,arc_easy,brier_stderr,0.015333881562247891,20.0
17,1825570816.0,arc_easy,loglikelihood,-21.801290293333903,20.0
18,1825570816.0,arc_easy,loglikelihood_stderr,0.24116762342735296,20.0
19,1825570816.0,arc_easy,neg_loglikelihood_norm,1.2371934865431795,20.0
20,1825570816.0,c4,accuracy,0.3307691812515259,20.0
21,1825570816.0,c4,bits_per_byte,0,20.0
22,1825570816.0,c4,cross_entropy_loss,3.8916096687316895,20.0
23,1825570816.0,c4,loss,3.8916096687316895,20.0
24,1825570816.0,c4,perplexity,49.499412536621094,20.0
25,1825570816.0,c4,train_live_targets,465.2462158203125,20.0
26,1825570816.0,c4,z_loss,156.49407958984375,20.0
27,1825570816.0,dclm,accuracy,0.35494956374168396,20.0
28,1825570816.0,dclm,bits_per_byte,0,20.0
29,1825570816.0,dclm,cross_entropy_loss,3.6692724227905273,20.0
30,1825570816.0,dclm,loss,3.6692724227905273,20.0
31,1825570816.0,dclm,perplexity,39.39500045776367,20.0
32,1825570816.0,dclm,train_live_targets,1005.5595092773438,20.0
33,1825570816.0,dclm,z_loss,162.67086791992188,20.0
34,1825570816.0,fineweb,accuracy,0.3314671516418457,20.0
35,1825570816.0,fineweb,bits_per_byte,0,20.0
36,1825570816.0,fineweb,cross_entropy_loss,3.8739922046661377,20.0
37,1825570816.0,fineweb,loss,3.8739922046661377,20.0
38,1825570816.0,fineweb,perplexity,48.45252990722656,20.0
39,1825570816.0,fineweb,train_live_targets,647.72607421875,20.0
40,1825570816.0,fineweb,z_loss,157.14012145996094,20.0
42,1825570816.0,gsm8k_cot_llama,exact_match,0.000758150113722517,20.0
43,1825570816.0,gsm8k_cot_llama,exact_match_stderr,0.0007581501137225302,20.0
44,1825570816.0,hellaswag,acc,0.26110336586337385,20.0
45,1825570816.0,hellaswag,acc_norm,0.2689703246365266,20.0
46,1825570816.0,hellaswag,acc_norm_stderr,0.004425182676353262,20.0
47,1825570816.0,hellaswag,acc_stderr,0.0043833847840384094,20.0
49,1825570816.0,hellaswag,brier,1.430302384183305,20.0
50,1825570816.0,hellaswag,brier_stderr,0.008565270059669741,20.0
51,1825570816.0,hellaswag,loglikelihood,-102.84945100475844,20.0
52,1825570816.0,hellaswag,loglikelihood_stderr,0.5133259784705184,20.0
53,1825570816.0,hellaswag,neg_loglikelihood_norm,0.7494350810996828,20.0
55,1825570816.0,humaneval-py,n_assertionerror,12609,20.0
56,1825570816.0,humaneval-py,n_assertionerror_stderr,,20.0
57,1825570816.0,humaneval-py,n_exception,9241,20.0
58,1825570816.0,humaneval-py,n_exception_stderr,,20.0
59,1825570816.0,humaneval-py,n_invalid_status,0,20.0
60,1825570816.0,humaneval-py,n_invalid_status_stderr,,20.0
61,1825570816.0,humaneval-py,n_ok,0,20.0
62,1825570816.0,humaneval-py,n_ok_stderr,,20.0
63,1825570816.0,humaneval-py,n_syntaxerror,10935,20.0
64,1825570816.0,humaneval-py,n_syntaxerror_stderr,,20.0
65,1825570816.0,humaneval-py,pass@1,0,20.0
66,1825570816.0,humaneval-py,pass@128,0,20.0
